id;country;capital_city;region
1;Afghanistan;Kabul;Southern Asia
2;Albania;Tirana;Southern Europe
3;Algeria;Algiers;Northern Africa
4;Andorra;Andorra la Vella;Southern Europe
5;Angola;Luanda;Middle Africa
6;Antigua and Barbuda;Saint John's;Caribbean
7;Argentina;Buenos Aires;South America
8;Armenia;Yerevan;Western Asia
9;Australia;Canberra;Australia and New Zealand
10;Austria;Vienna;Western Europe
11;Azerbaijan;Baku;Western Asia
12;Bahrain;Manama;Western Asia
13;Bangladesh;Dhaka;Southern Asia
14;Barbados;Bridgetown;Caribbean
15;Belarus;Minsk;Eastern Europe
16;Belgium;Brussels;Western Europe
17;Belize;Belmopan;Central America
18;Benin;Porto-Novo;Western Africa
19;Bhutan;Thimphu;Southern Asia
20;Bolivia;Sucre;South America
21;Bosnia and Herzegovina;Sarajevo;Southern Europe
22;Botswana;Gaborone;Southern Africa
23;Brazil;Brasilia;South America
24;Brunei;Bandar Seri Begawan;South-Eastern Asia
25;Bulgaria;Sofia;Eastern Europe
26;Burkina Faso;Ouagadougou;Western Africa
27;Burundi;Bujumbura;Eastern Africa
28;Cabo Verde;Praia;Western Africa
29;Cambodia;Phnom Penh;South-Eastern Asia
30;Cameroon;Yaounde;Middle Africa
31;Canada;Ottawa;Northern America
32;Central African Republic;Bangui;Middle Africa
33;Chad;N'Djamena;Middle Africa
34;Chile;Santiago;South America
35;China;Beijing;Eastern Asia
36;Colombia;Bogota;South America
37;Comoros;Moroni;Eastern Africa
38;Congo;Brazzaville;Middle Africa
39;Costa Rica;San Jose;Central America
40;Cote d'Ivoire;Yamoussoukro;Western Africa
41;Croatia;Zagreb;Southern Europe
42;Cuba;Havana;Caribbean
43;Cyprus;Nicosia;Southern Europe
44;Czech Republic;Prague;Eastern Europe
45;Dem. People's Rep. Korea;Pyongyang;Eastern Asia
46;Dem. Rep. Congo;Kinshasa;Middle Africa
47;Denmark;Copenhagen;Northern Europe
48;Djibouti;Djibouti;Eastern Africa
49;Dominica;Roseau;Caribbean
50;Dominican Republic;Santo Domingo;Caribbean
51;Ecuador;Quito;South America
52;Egypt;Cairo;Northern Africa
53;El Salvador;San Salvador;Central America
54;Equatorial Guinea;Malabo;Middle Africa
55;Eritrea;Asmara;Eastern Africa
56;Estonia;Tallinn;Northern Europe
57;Eswatini;Lobamba;Southern Africa
58;Ethiopia;Addis Ababa;Eastern Africa
59;Fiji;Suva;Melanesia
60;Finland;Helsinki;Northern Europe
61;France;Paris;Western Europe
62;Gabon;Libreville;Middle Africa
63;Georgia;Tbilisi;Western Asia
64;Germany;Berlin;Western Europe
65;Ghana;Accra;Western Africa
66;Greece;Athens;Southern Europe
67;Grenada;St. George's;Caribbean
68;Guatemala;Guatemala City;Central America
69;Guinea;Conakry;Western Africa
70;Guinea-Bissau;Bissau;Western Africa
71;Guyana;Georgetown;South America
72;Haiti;Port-au-Prince;Caribbean
73;Honduras;Tegucigalpa;Central America
74;Hungary;Budapest;Eastern Europe
75;Iceland;Reykjavik;Northern Europe
76;India;New Delhi;Southern Asia
77;Indonesia;Jakarta;South-Eastern Asia
78;Iran;Tehran;Southern Asia
79;Iraq;Baghdad;Western Asia
80;Ireland;Dublin;Northern Europe
81;Israel;Jerusalem;Western Asia
82;Italy;Rome;Southern Europe
83;Jamaica;Kingston;Caribbean
84;Japan;Tokyo;Eastern Asia
85;Jordan;Amman;Western Asia
86;Kazakhstan;Astana;Central Asia
87;Kenya;Nairobi;Eastern Africa
88;Kiribati;South Tarawa;Micronesia
89;Korea;Seoul;Eastern Asia
90;Kuwait;Kuwait City;Western Asia
91;Kyrgyz Republic;Bishkek;Central Asia
92;Lao PDR;Vientiane;South-Eastern Asia
93;Latvia;Riga;Northern Europe
94;Lebanon;Beirut;Western Asia
95;Lesotho;Maseru;Southern Africa
96;Liberia;Monrovia;Western Africa
97;Libya;Tripoli;Northern Africa
98;Liechtenstein;Vaduz;Western Europe
99;Lithuania;Vilnius;Northern Europe
100;Luxembourg;Luxembourg;Western Europe
101;Madagascar;Antananarivo;Eastern Africa
102;Malawi;Lilongwe;Eastern Africa
103;Malaysia;Kuala Lumpur;South-Eastern Asia
104;Maldives;Male;Southern Asia
105;Mali;Bamako;Western Africa
106;Malta;Valletta;Southern Europe
107;Marshall Islands;Majuro;Micronesia
108;Mauritania;Nouakchott;Western Africa
109;Mauritius;Port Louis;Eastern Africa
110;Mexico;Mexico City;Central America
111;Micronesia;Palikir;Micronesia
112;Moldova;Chisinau;Eastern Europe
113;Monaco;Monaco;Western Europe
114;Mongolia;Ulan Bator;Eastern Asia
115;Montenegro;Podgorica;Southern Europe
116;Morocco;Rabat;Northern Africa
117;Mozambique;Maputo;Eastern Africa
118;Myanmar;Naypyidaw;South-Eastern Asia
119;Namibia;Windhoek;Southern Africa
120;Nauru;Yaren;Micronesia
121;Nepal;Kathmandu;Southern Asia
122;Netherlands;Amsterdam;Western Europe
123;New Zealand;Wellington;Australia and New Zealand
124;Nicaragua;Managua;Central America
125;Niger;Niamey;Western Africa
126;Nigeria;Abuja;Western Africa
127;North Macedonia;Skopje;Southern Europe
128;Norway;Oslo;Northern Europe
129;Oman;Muscat;Western Asia
130;Pakistan;Islamabad;Southern Asia
131;Palau;Ngerulmud;Micronesia
132;Panama;Panama City;Central America
133;Papua New Guinea;Port Moresby;Melanesia
134;Paraguay;Asuncion;South America
135;Peru;Lima;South America
136;Philippines;Manila;South-Eastern Asia
137;Poland;Warsaw;Eastern Europe
138;Portugal;Lisbon;Southern Europe
139;Qatar;Doha;Western Asia
140;Romania;Bucharest;Eastern Europe
141;Russia;Moscow;Eastern Europe
142;Rwanda;Kigali;Eastern Africa
143;Samoa;Apia;Polynesia
144;San Marino;City of San Marino;Southern Europe
145;Sao Tome and Principe;Sao Tome;Middle Africa
146;Saudi Arabia;Riyadh;Western Asia
147;Senegal;Dakar;Western Africa
148;Serbia;Belgrade;Southern Europe
149;Seychelles;Victoria;Eastern Africa
150;Sierra Leone;Freetown;Western Africa
151;Singapore;Singapore;South-Eastern Asia
152;Slovak Republic;Bratislava;Eastern Europe
153;Slovenia;Ljubljana;Southern Europe
154;Solomon Islands;Honiara;Melanesia
155;Somalia;Mogadishu;Eastern Africa
156;South Africa;Pretoria;Southern Africa
157;South Sudan;Juba;Middle Africa
158;Spain;Madrid;Southern Europe
159;Sri Lanka;Colombo;Southern Asia
160;St. Kitts and Nevis;Basseterre;Caribbean
161;St. Lucia;Castries;Caribbean
162;St. Vincent and the Grenadines;Kingstown;Caribbean
163;Sudan;Khartoum;Northern Africa
164;Suriname;Paramaribo;South America
165;Sweden;Stockholm;Northern Europe
166;Switzerland;Bern;Western Europe
167;Syrian Arab Republic;Damascus;Western Asia
168;Tajikistan;Dushanbe;Central Asia
169;Tanzania;Dodoma;Eastern Africa
170;Thailand;Bangkok;South-Eastern Asia
171;The Bahamas;Nassau;Caribbean
172;The Gambia;Banjul;Western Africa
173;Timor-Leste;Dili;South-Eastern Asia
174;Togo;Lome;Western Africa
175;Tonga;Nuku'alofa;Polynesia
176;Trinidad and Tobago;Port of Spain;Caribbean
177;Tunisia;Tunis;Northern Africa
178;Turkey;Ankara;Western Asia
179;Turkmenistan;Ashgabat;Central Asia
180;Tuvalu;Funafuti;Polynesia
181;Uganda;Kampala;Eastern Africa
182;Ukraine;Kiev;Eastern Europe
183;United Arab Emirates;Abu Dhabi;Western Asia
184;England;London;Northern Europe
185;United States;Washington, D.C.;Northern America
186;Uruguay;Montevideo;South America
187;Uzbekistan;Tashkent;Central Asia
188;Vanuatu;Port Vila;Melanesia
189;Venezuela;Caracas;South America
190;Vietnam;Hanoi;South-Eastern Asia
191;West Bank and Gaza;Ramallah;Western Asia
192;Yemen;Sana'a;Western Asia
193;Zambia;Lusaka;Eastern Africa
194;Zimbabwe;Harare;Eastern Africa
195;Curaçao;Willemstad;Caribbean
196;French Guiana;Cayenne;South America
197;Wales;Cardiff;Northern Europe
198;Northern Ireland;Belfast;Northern Europe
199;Scotland;Edinburgh;Northern Europe
200;Martinique;Fort-de-France;Caribbean
201;Guadeloupe;Basse Terre;Caribbean
202;Reunion;Saint-Denis;Eastern Africa
203;Kosovo;Prishtina;Southern Europe
204;Gambia;Banjul;Western Africa
205;New Caledonia;Noumea;Melanesia
206;Bermuda;Hamilton;Caribbean
