id;dateutc;competition;season; stadiums_id;home_club;away_club;winner;goal_by_home_club;goal_by_away_club
1143;13.05.2018 14:00;English first division;2018;350;Liverpool;Brighton & Hove Albion;Liverpool;4;0
1190;14.04.2018 16:30;English first division;2018;350;Liverpool;AFC Bournemouth;Liverpool;3;0
1216;17.03.2018 17:30;English first division;2018;350;Liverpool;Watford;Liverpool;5;0
1233;3.03.2018 17:30;English first division;2018;350;Liverpool;Newcastle United;Liverpool;2;0
1247;24.02.2018 15:00;English first division;2018;350;Liverpool;West Ham United;Liverpool;4;1
1291;14.01.2018 16:00;English first division;2018;350;Liverpool;Manchester City;Liverpool;4;3
1317;30.12.2017 15:00;English first division;2017;350;Liverpool;Leicester City;Liverpool;2;1
1322;26.12.2017 17:30;English first division;2017;350;Liverpool;Swansea City;Liverpool;5;0
1407;18.11.2017 15:00;English first division;2017;350;Liverpool;Southampton;Liverpool;3;0
1426;28.10.2017 14:00;English first division;2017;350;Liverpool;Huddersfield Town;Liverpool;3;0
1490;27.08.2017 15:00;English first division;2017;350;Liverpool;Arsenal;Liverpool;4;0
1507;19.08.2017 14:00;English first division;2017;350;Liverpool;Crystal Palace;Liverpool;1;0
1164;5.05.2018 11:30;English first division;2018;353;Stoke City;Crystal Palace;Crystal Palace;1;2
1202;7.04.2018 14:00;English first division;2018;353;Stoke City;Tottenham Hotspur;Tottenham Hotspur;1;2
1219;17.03.2018 14:00;English first division;2018;353;Stoke City;Everton;Everton;1;2
1220;12.03.2018 20:00;English first division;2018;353;Stoke City;Manchester City;Manchester City;0;2
1309;1.01.2018 15:00;English first division;2018;353;Stoke City;Newcastle United;Newcastle United;0;1
1335;23.12.2017 15:00;English first division;2017;353;Stoke City;West Bromwich Albion;Stoke City;3;1
1344;16.12.2017 16:00;English first division;2017;353;Stoke City;West Ham United;West Ham United;0;3
1376;2.12.2017 15:00;English first division;2017;353;Stoke City;Swansea City;Stoke City;2;1
1382;29.11.2017 20:00;English first division;2017;353;Stoke City;Liverpool;Liverpool;0;3
1436;21.10.2017 14:00;English first division;2017;353;Stoke City;AFC Bournemouth;AFC Bournemouth;1;2
1456;30.09.2017 14:00;English first division;2017;353;Stoke City;Southampton;Stoke City;2;1
1467;23.09.2017 14:00;English first division;2017;353;Stoke City;Chelsea;Chelsea;0;4
1503;19.08.2017 16:30;English first division;2017;353;Stoke City;Arsenal;Stoke City;1;0
396;12.05.2018 18:00;French first division;2018;473;Nice;Caen;Nice;4;1
423;22.04.2018 13:00;French first division;2018;473;Nice;Montpellier;Nice;1;0
462;18.03.2018 12:00;French first division;2018;473;Nice;PSG;PSG;1;2
489;2.03.2018 18:00;French first division;2018;473;Nice;Lille;Nice;2;1
526;3.02.2018 19:00;French first division;2018;473;Nice;Toulouse;Toulouse;0;1
542;21.01.2018 14:00;French first division;2018;473;Nice;Saint;Nice;1;0
566;13.01.2018 19:00;French first division;2018;473;Nice;Amiens SC;Nice;1;0
581;17.12.2017 16:00;French first division;2017;473;Nice;Bordeaux;Nice;1;0
605;2.12.2017 19:00;French first division;2017;473;Nice;Metz;Nice;3;1
622;26.11.2017 14:00;French first division;2017;473;Nice;Olympique Lyonnais;Olympique Lyonnais;0;5
644;5.11.2017 14:00;French first division;2017;473;Nice;Dijon;Nice;1;0
663;22.10.2017 13:00;French first division;2017;473;Nice;Strasbourg;Strasbourg;1;2
681;1.10.2017 19:00;French first division;2017;473;Nice;Olympique Marseille;Olympique Marseille;2;4
717;9.09.2017 15:00;French first division;2017;473;Nice;Monaco;Nice;4;0
734;19.08.2017 18:00;French first division;2017;473;Nice;Guingamp;Nice;2;0
749;11.08.2017 17:00;French first division;2017;473;Nice;Troyes;Troyes;1;2
1520;12.05.2018 13:30;German first division;2018;532;Bayern Munchen;Stuttgart;Stuttgart;1;4
1541;28.04.2018 13:30;German first division;2018;532;Bayern Munchen;Eintracht Frankfurt;Bayern Munchen;4;1
1559;14.04.2018 16:30;German first division;2018;532;Bayern Munchen;Borussia M'gladbach;Bayern Munchen;5;1
1577;31.03.2018 16:30;German first division;2018;532;Bayern Munchen;Borussia Dortmund;Bayern Munchen;6;0
1596;10.03.2018 14:30;German first division;2018;532;Bayern Munchen;Hamburger SV;Bayern Munchen;6;0
1630;10.02.2018 17:30;German first division;2018;532;Bayern Munchen;Schalke 04;Bayern Munchen;2;1
1649;27.01.2018 14:30;German first division;2018;532;Bayern Munchen;Hoffenheim;Bayern Munchen;5;2
1656;21.01.2018 14:30;German first division;2018;532;Bayern Munchen;Werder Bremen;Bayern Munchen;4;2
1682;13.12.2017 19:30;German first division;2017;532;Bayern Munchen;Koln;Bayern Munchen;1;0
1703;2.12.2017 14:30;German first division;2017;532;Bayern Munchen;Hannover 96;Bayern Munchen;3;1
1721;18.11.2017 14:30;German first division;2017;532;Bayern Munchen;Augsburg;Bayern Munchen;3;0
1738;28.10.2017 16:30;German first division;2017;532;Bayern Munchen;RB Leipzig;Bayern Munchen;2;0
1757;14.10.2017 13:30;German first division;2017;532;Bayern Munchen;Freiburg;Bayern Munchen;5;0
1794;16.09.2017 13:30;German first division;2017;532;Bayern Munchen;Mainz 05;Bayern Munchen;4;0
1825;18.08.2017 18:30;German first division;2017;532;Bayern Munchen;Bayer Leverkusen;Bayern Munchen;3;1
1525;12.05.2018 13:30;German first division;2018;536;Bayer Leverkusen;Hannover 96;Bayer Leverkusen;3;2
1562;14.04.2018 13:30;German first division;2018;536;Bayer Leverkusen;Eintracht Frankfurt;Bayer Leverkusen;4;1
1595;10.03.2018 17:30;German first division;2018;536;Bayer Leverkusen;Borussia M'gladbach;Bayer Leverkusen;2;0
1612;25.02.2018 14:30;German first division;2018;536;Bayer Leverkusen;Schalke 04;Schalke 04;0;2
1634;10.02.2018 14:30;German first division;2018;536;Bayer Leverkusen;Hertha BSC;Hertha BSC;0;2
1647;28.01.2018 14:30;German first division;2018;536;Bayer Leverkusen;Mainz 05;Bayer Leverkusen;2;0
1672;12.01.2018 19:30;German first division;2018;536;Bayer Leverkusen;Bayern Munchen;Bayern Munchen;1;3
1685;13.12.2017 19:30;German first division;2017;536;Bayer Leverkusen;Werder Bremen;Bayer Leverkusen;1;0
1742;28.10.2017 13:30;German first division;2017;536;Bayer Leverkusen;Koln;Bayer Leverkusen;2;1
1772;24.09.2017 16:00;German first division;2017;536;Bayer Leverkusen;Hamburger SV;Bayer Leverkusen;3;0
1791;17.09.2017 13:30;German first division;2017;536;Bayer Leverkusen;Freiburg;Bayer Leverkusen;4;0
9;19.05.2018 13:00;Italian first division;2018;735;Juventus;Hellas Verona;Juventus;2;1
28;5.05.2018 18:45;Italian first division;2018;735;Juventus;Bologna;Juventus;3;1
41;22.04.2018 18:45;Italian first division;2018;735;Juventus;Napoli;Napoli;0;1
61;15.04.2018 16:00;Italian first division;2018;735;Juventus;Sampdoria;Juventus;3;0
87;31.03.2018 18:45;Italian first division;2018;735;Juventus;Milan;Juventus;3;1
107;14.03.2018 17:00;Italian first division;2018;735;Juventus;Atalanta;Juventus;2;0
114;11.03.2018 14:00;Italian first division;2018;735;Juventus;Udinese;Juventus;2;0
155;4.02.2018 14:00;Italian first division;2018;735;Juventus;Sassuolo;Juventus;7;0
172;22.01.2018 19:45;Italian first division;2018;735;Juventus;Genoa;Juventus;1;0
202;23.12.2017 19:45;Italian first division;2017;735;Juventus;Roma;Juventus;1;0
243;26.11.2017 19:45;Italian first division;2017;735;Juventus;Crotone;Juventus;3;0
