id;firstname;lastname;birthdate;country_id;position;foot;height
0;Harun;Tekin;17.06.1989;178;Goalkeeper;right;187
1;Malang;Sarr;23.01.1999;61;Defender;left;182
2;Over;Mandanda;26.10.1998;61;Goalkeeper;right;176
3;Alfred John Momar;N'Diaye;6.03.1990;61;Midfielder;right;187
4;Ibrahima;Konate;25.05.1999;61;Defender;right;192
5;Jasper;Cillessen;22.04.1989;122;Goalkeeper;right;185
6;Toby;Alderweireld;2.03.1989;16;Defender;right;187
7;Jan;Vertonghen;24.04.1987;16;Defender;left;189
8;Alexander;Djiku;9.08.1994;61;Defender;right;182
9;Christian;Dannemann Eriksen;14.02.1992;47;Midfielder;right;180
10;Marcel;Sabitzer;17.03.1994;10;Midfielder;right;177
11;Kolbeinn;Sigthorsson;14.03.1990;75;Forward;right;186
12;Charles;Traore;1.01.1992;105;Defender;left;180
13;Niklas;Moisander;29.09.1985;60;Defender;left;183
14;Charlison;Benschop;21.08.1989;195;Forward;right;191
15;Johann;Berg Gudmundsson;27.10.1990;75;Midfielder;left;186
16;Przemyslaw;Tyton;4.01.1987;137;Goalkeeper;right;194
17;Marcelo Antonio;Guedes Filho;20.05.1987;23;Defender;right;191
18;Jetro;Willems;30.03.1994;122;Defender;left;169
19;Ali Adnan Kadhim;Al Tameemi;19.12.1993;79;Defender;left;186
20;Kevin;Strootman;13.02.1990;122;Midfielder;left;186
21;Memphis;Depay;13.02.1994;122;Forward;right;176
22;Dries;Mertens;6.05.1987;16;Forward;right;169
23;Ola;Toivonen;3.07.1986;165;Forward;right;192
24;Stefan;de Vrij;5.02.1992;122;Defender;right;189
25;Karim;El Ahmadi Al Aroos;27.01.1985;122;Midfielder;right;179
26;John;Guidetti;15.04.1992;165;Forward;right;185
27;Volkan;Babacan;11.08.1988;178;Goalkeeper;right;192
28;Jeffrey;Gouweleeuw;10.07.1991;122;Defender;right;188
29;Filip;Djuricic;30.01.1992;148;Midfielder;right;181
30;Peter;Pekarik;30.10.1986;152;Defender;right;176
31;Jagos;Vukovic;10.06.1988;148;Defender;left;195
32;Nordin;Amrabat;31.03.1987;122;Forward;right;178
33;Christian;Kouakou Yao;1.03.1991;40;Forward;right;182
34;Roberto Jose;Rosales Altuve;20.11.1988;189;Defender;right;175
35;Nacer;Chadli;2.08.1989;16;Midfielder;right;187
36;Robin;Gosens;5.06.1994;64;Defender;left;183
37;Yacine;Bammou;11.09.1991;61;Forward;right;188
38;Florian;Le Joncour;3.02.1995;61;Defender;left;193
39;Andre;Ramalho Silva;16.02.1992;23;Defender;right;182
40;Davide;Borsellini;4.01.1999;82;Goalkeeper;left;180
41;Leon-Aderemi;Balogun;28.06.1988;64;Defender;right;190
42;Godfred;Donsah;7.06.1996;65;Midfielder;right;175
43;Hyun-Jun;Suk;29.06.1991;89;Forward;right;190
44;Dusan;Tadic;20.11.1988;148;Midfielder;left;181
45;Bram;Nuytinck;4.05.1990;122;Defender;left;190
46;Lasse;Schone;27.05.1986;47;Midfielder;right;177
47;Ablie;Jallow;14.11.1998;204;Midfielder;left;166
48;Bogdan Sorin;Stancu;28.06.1987;140;Forward;right;183
49;Gregor;Kobel;6.12.1997;166;Goalkeeper;right;194
50;Denis Lemi;Zakaria Lako Lado;20.11.1996;166;Midfielder;right;191
51;Marten;de Roon;29.03.1991;122;Midfielder;right;185
52;Alex;Iwobi;3.05.1996;126;Midfielder;right;180
53;Lorenzo;Pellegrini;19.06.1996;82;Midfielder;right;186
54;Mohamed Salim;Fares;15.02.1996;61;Forward;left;183
55;Otavio Henrique;Passos Santos;4.05.1994;23;Midfielder;right;176
56;Hernan Dario;Toledo;17.01.1996;7;Forward;right;180
57;Maya;Yoshida;24.08.1988;84;Defender;right;189
58;Bryan;Passi;5.08.1997;61;Defender;right;189
59;Hamza;Mendyl;21.10.1997;116;Defender;left;179
60;Anthony;Caci;1.07.1997;61;Midfielder;right;184
61;Miguel Angel;Guerrero Martin;12.07.1990;158;Forward;right;182
62;Robert;Mazan;9.02.1994;152;Defender;left;180
63;Martin;Terrier;4.03.1997;61;Forward;right;183
64;Theodore;Efouba Ayissi;5.05.1997;30;Defender;right;184
65;Tyronne;Ebuehi;16.12.1995;122;Defender;right;187
66;Patrick;Burner;11.04.1996;200;Defender;right;170
67;Samuel;Grandsir;14.08.1996;61;Forward;right;168
68;Victor;Lopez Ibanez;12.05.1997;158;Defender;right;168
69;Jean Michael;Seri;19.07.1991;40;Midfielder;right;168
70;Gerard;Gumbau Garriga;18.12.1994;158;Midfielder;left;187
71;Pablo;Maffeo Becerra;12.07.1997;158;Defender;right;173
72;Artur;Jedrzejczyk;4.11.1987;137;Defender;right;189
73;Maciej;Rybus;19.08.1989;137;Defender;left;173
74;Marcin;Kaminski;15.01.1992;137;Defender;left;192
75;Karim;Onisiwo;17.03.1992;10;Midfielder;right;188
76;Artjoms;Rudnevs;13.01.1988;93;Forward;left;183
77;Lukasz;Skorupski;5.05.1991;137;Goalkeeper;right;190
78;Pawel;Olkowski;13.02.1990;137;Defender;right;184
79;Arkadiusz;Milik;28.02.1994;137;Forward;left;186
80;Prejuce Niguimbe;Nakoulma;21.04.1987;26;Forward;right;178
81;Gianluca;Pegolo;25.03.1981;82;Goalkeeper;left;183
82;Mariusz;Stepinski;12.05.1995;137;Forward;right;183
83;Duje;Caleta-Car;17.09.1996;41;Defender;right;192
84;Edvinas;Gertmonas;1.06.1996;99;Goalkeeper;right;192
85;Hrvoje;Milic;10.05.1989;41;Defender;left;183
86;Jonathan;Klinsmann;8.04.1997;185;Goalkeeper;right;194
87;Francesco;Vicari;3.08.1994;82;Defender;right;190
88;Alex;Ferrari;1.07.1994;82;Defender;right;183
89;Emil;Berggreen;10.05.1993;47;Forward;right;194
90;Igor;Lewczuk;30.05.1985;137;Defender;right;189
91;Cheick;Keita;16.04.1996;61;Defender;left;182
92;Carlos;Calderon Lopez;14.04.1995;158;Midfielder;right;182
93;Thiago;Rangel Cionek;21.04.1986;23;Defender;right;183
94;Rodrigo;Bentancur Colman;25.06.1997;186;Midfielder;right;185
95;Bernardo;Fernandes da Silva Junior;14.05.1995;23;Defender;left;186
96;Rafal;Gikiewicz;26.10.1987;137;Goalkeeper;right;190
97;Alessandro;Deiola;1.08.1995;82;Midfielder;right;190
98;Nadiem;Amiri;27.10.1996;64;Midfielder;right;180
99;Yeray;Alvarez Lopez;24.01.1995;158;Defender;right;183
100;Inigo;Lekue Martinez;4.05.1993;158;Defender;right;180
101;Ali;Gabr;10.01.1989;52;Defender;right;193
102;Pere;Pons Riera;20.02.1993;158;Midfielder;right;177
103;Federico Nicolas;Cartabia;20.01.1993;7;Midfielder;left;169
104;Bartosz;Bereszynski;12.07.1992;137;Defender;right;183
105;Olafur Ingi;Skulason;1.04.1983;75;Midfielder;right;183
106;Dominik;Kohr;31.01.1994;64;Midfielder;right;183
107;Piotr;Zielinski;20.05.1994;137;Midfielder;right;180
108;Jemerson;de Jesus Nascimento;24.08.1992;23;Defender;right;184
109;Youri;Tielemans;7.05.1997;16;Midfielder;right;176
110;Timothy;Castagne;5.12.1995;16;Defender;right;185
111;Kenny;Tete;9.10.1995;122;Defender;right;180
112;Viktor;Fischer;9.06.1994;47;Forward;right;180
113;Riechedly;Bazoer;12.10.1996;122;Midfielder;right;184
114;Oussama;Tannane;23.03.1994;122;Forward;left;177
115;Presnel;Kimpembe;13.08.1995;61;Defender;left;183
116;Kingsley;Coman;13.06.1996;61;Forward;right;178
117;Gabriel;Barbosa Almeida;30.08.1996;23;Forward;left;178
118;Mamadou;Sissako;20.04.1996;61;Forward;right;171
119;Sener;Ozbayrakli;23.01.1990;178;Defender;right;171
120;Andrey;Semenov;24.03.1989;141;Defender;right;190
121;Yoel;Armougom;5.06.1998;202;Defender;left;173
122;Kevin Lucien;Zohi;19.12.1996;40;Forward;right;177
123;Igor;Zubeldia Elorza;30.03.1997;158;Midfielder;right;180
124;George;Gope-Fenepej;23.10.1988;205;Forward;right;182
125;Pierluigi;Gollini;18.03.1995;82;Goalkeeper;right;188
126;Ezequiel;Ponce Martinez;29.03.1997;7;Forward;right;178
127;Enrico;Bearzotti;20.10.1996;82;Midfielder;right;180
128;Emiliano;Viviano;1.12.1985;82;Goalkeeper;left;195
129;Maximiliano;Gomez Gonzalez;14.08.1996;186;Forward;right;186
130;Moctar El Hacen;El Id;31.12.1997;108;Midfielder;right;181
131;Thomas;Strakosha;19.03.1995;66;Goalkeeper;right;186
132;Marcus;Coco;24.06.1996;201;Midfielder;right;184
133;Joel;Pohjanpalo;13.09.1994;60;Forward;right;185
134;Miguel Angel;Trauco Saavedra;25.08.1992;135;Defender;left;175
135;Vincent;Laurini;10.06.1989;61;Defender;right;173
136;Firmin Ndombe;Mubele;17.04.1994;46;Forward;right;170
137;Antonin;Barak;3.12.1994;44;Midfielder;left;190
138;Manuel;Akanji;19.07.1995;166;Defender;right;187
139;Samuel;Castillejo Azuaga;18.01.1995;158;Midfielder;left;182
140;Filip;Manojlovic;25.04.1996;148;Goalkeeper;right;197
